## Generic Event attributes (range 1-999),,,,General,Network,System,Appl,PH,displayFormat,Count(DISTINCT),GroupBy,Aggr,OrderBy,Deprecated,Availability,SysPerf,NetPerf,AppPerf,Change,Security,Simple,rbac,Description
1118,Max Total Bytes,maxTotBytes,uint64,0,1,0,0,0,Bytes,0,0,0,1,0,,,1,,,,,,
1119,Avg Total Bytes,avgTotBytes,double,0,1,0,0,0,Bytes,0,0,0,1,0,,,1,,,,,,
1120,Std Dev Total Bytes,sdevTotBytes,double,0,1,0,0,0,Bytes,0,0,0,1,0,,,1,,,,,,
1121,Source Host Name,srcName,string,0,1,0,0,0,,1,1,0,0,0,,,,,,,,,
1122,In Packet Discards,inIntfPktDiscarded,uint32,0,1,0,0,0,,0,0,1,1,0,,1,1,,,,,,
1123,Out Packet Discards,outIntfPktDiscarded,uint32,0,1,0,0,0,,0,0,1,1,0,,1,1,,,,,,
1124,In Packet Discard Pct,inIntfPktDiscardedPct,double,0,1,0,0,0,,0,0,1,1,0,,1,1,,,,,,
1125,Out Packet Discard Pct,outIntfPktDiscardedPct,double,0,1,0,0,0,,0,0,1,1,0,,1,1,,,,,,
1126,Source Firewall Zone,srcFwZone,string,0,1,0,0,0,,1,1,0,0,0,,,1,,,1,,,
1127,Dest Firewall Zone,destFwZone,string,0,1,0,0,0,,1,1,0,0,0,,,1,,,1,,,
1128,Network Access Device MAC,nepMACAddr,string,0,1,0,0,0,,1,1,0,0,0,,,,,,1,,,
1129,Wireless Attack Signature Name,wirelessSigName,string,0,1,0,0,0,,1,1,0,0,0,,,,,,1,,,
1130,IP Port,ipPort,uint16,0,1,0,0,0,,1,1,0,0,0,,,,,,1,,,
1131,Min Jitter,minJitterMs,uint32,0,1,0,0,0,DurationMSec,0,0,1,1,0,,,,,,,,,
1132,Max Jitter,maxJitterMs,uint32,0,1,0,0,0,DurationMSec,0,0,1,1,0,,,,,,,,,
1133,Avg Jitter,avgJitterMs,uint32,0,1,0,0,0,DurationMSec,0,0,1,1,0,,,,,,,,,
1134,Min SD Jitter,minJitterSDMs,uint32,0,1,0,0,0,DurationMSec,0,0,1,1,0,,,,,,,,,
1135,Max SD Jitter,maxJitterSDMs,uint32,0,1,0,0,0,DurationMSec,0,0,1,1,0,,,,,,,,,
1136,Avg SD Jitter,avgJitterSDMs,uint32,0,1,0,0,0,DurationMSec,0,0,1,1,0,,,,,,,,,
1137,Min DS Jitter,minJitterDSMs,uint32,0,1,0,0,0,DurationMSec,0,0,1,1,0,,,,,,,,,
1138,Max DS Jitter,maxJitterDSMs,uint32,0,1,0,0,0,DurationMSec,0,0,1,1,0,,,,,,,,,
1139,Avg DS Jitter,avgJitterDSMs,uint32,0,1,0,0,0,DurationMSec,0,0,1,1,0,,,,,,,,,
1140,Packets Lost,pktLost,uint32,0,1,0,0,0,,0,0,1,1,0,,,1,,,1,,,
1141,Packets Lost (SD),pktLostSD,uint32,0,1,0,0,0,,0,0,1,1,0,,,1,,,1,,,
1142,Packets Lost (DS),pktLostDS,uint32,0,1,0,0,0,,0,0,1,1,0,,,1,,,1,,,
1143,Packets Missing,pktMIA,uint32,0,1,0,0,0,,0,0,1,1,0,,,1,,,1,,,
1144,Packets Late,pktLate,uint32,0,1,0,0,0,,0,0,1,1,0,,,1,,,1,,,
1145,Pkt Out-of-Seq,pktOutSeq,uint32,0,1,0,0,0,,0,0,1,1,0,,,1,,,1,,,
1146,VoIP MOS Score,mosScore,double,0,1,0,0,0,,0,0,0,1,0,,,1,,,,,,
1147,VoIP ICPIF Score,icpifScore,uint32,0,1,0,0,0,,0,0,1,1,0,,,1,,,1,,,
1148,IP SLA Protocol,ipSLAProto,string,0,1,0,0,0,,1,1,0,0,0,,,,,,,,,
1149,VoIP Codec,codec,string,0,1,0,0,0,,1,1,0,0,0,,,,,,,,,
1150,Firewall Rule,fwRule,string,0,1,0,0,0,,1,1,0,0,0,,,,,,1,,,
1151,Palo Alto Firewall Action,paFwAction,string,0,1,0,0,0,,1,1,0,0,0,,,,,,1,,,
1152,Calling Party Number,callingPartyNumber,string,0,1,0,0,0,,1,1,0,0,0,,,,,,1,,,
1153,Original Called Party Number,originalCalledPartyNumber,string,0,1,0,0,0,,1,1,0,0,0,,,,,,1,,,
1154,Final Called Party Number,finalCalledPartyNumber,string,0,1,0,0,0,,1,1,0,0,0,,,,,,1,,,
1155,Call Connect Time,dateTimeConnect,Date,1,0,0,0,0,,0,0,0,0,0,,,,,,1,,,
1156,Call Disconnect Time,dateTimeDisconnect,Date,1,0,0,0,0,,0,0,0,0,0,,,,,,1,,,
1157,Call Duration,callDuration,uint32,1,0,0,0,0,DurationSec,0,0,0,0,0,,,,,,1,,,
1158,VoIP Phone Status,voIPPhoneStatus,string,0,1,0,0,0,,1,1,0,0,0,,,,,,1,,,
1159,Sent Byte Rate (/sec),sentBytesPerSec,double,0,0,0,1,0,BytesPerSec,0,0,1,1,0,,,,1,,,,,
1160,Received Byte Rate (/sec),recvBytesPerSec,double,0,0,0,1,0,BytesPerSec,0,0,1,1,0,,,,1,,,,,
1161,Virtualization Context,virtContext,string,0,1,0,0,0,,1,1,0,0,0,,,,,,1,,,
1162,Intf Out Queue Length,outQLen,uint32,0,1,0,0,0,,0,0,1,1,0,,1,1,,,,,,
1163,CBQoS Policy Name,qosPolicy,string,0,1,0,0,0,,1,1,0,0,0,,,,,,1,,,
1164,CBQoS Class Name,qosClass,string,0,1,0,0,0,,1,1,0,0,0,,,,,,1,,,
1165,CBQoS Conform KBps,qosConformRate,double,0,1,0,0,0,KBytesPerSec,0,0,1,1,0,,,1,,,1,,,
1166,CBQoS Exceeded KBps,qosExceedRate,double,0,1,0,0,0,KBytesPerSec,0,0,1,1,0,,,1,,,1,,,
1167,CBQoS Violated KBps,qosViolateRate,double,0,1,0,0,0,KBytesPerSec,0,0,1,1,0,,,1,,,1,,,
1168,CBQoS PrePolice KBps,qosPrePoliceRate,double,0,1,0,0,0,KBytesPerSec,0,0,1,1,0,,,1,,,1,,,
1169,CBQoS PostPolice KBps,qosPostPoliceRate,double,0,1,0,0,0,KBytesPerSec,0,0,1,1,0,,,1,,,1,,,
1170,CBQoS Drop KBps,qosDropRate,double,0,1,0,0,0,KBytesPerSec,0,0,1,1,0,,,1,,,1,,,
1171,CBQoS Drop Pct,qosDropPct,double,0,1,0,0,0,,0,0,0,1,0,,,1,,,,,,
